filename, Eczema, Psoriasis
248_jpeg.rf.63adeffa904be9bab8b9b5e7ac1b3727.jpg,1,0
37_jpeg.rf.63b27ac6ce06e8d2764b0590ca5e9f97.jpg,1,0
images---2020-04-26T194417-071_jpg.rf.648e7e0cedc9c49b063b5387a7d95b3b.jpg,0,1
images---2020-04-26T194217-689_jpg.rf.6565df50538668ca8ef8836d0bbdeafd.jpg,0,1
332_jpeg.rf.6582245ca8c1697b1f498c61657237e4.jpg,1,0
images--33-_jpg.rf.62b6a086a36a535558a74a5afbc6112a.jpg,0,1
170_jpeg.rf.62cf258c8b5e9fc880d3309eeb1e7a3e.jpg,1,0
94_jpeg.rf.639f8dbf54efcda671c826da59d7bf1d.jpg,1,0
86_jpeg.rf.63d6f0627d2db36463c1f9d040aa1b90.jpg,1,0
images---2020-04-26T194304-487_jpg.rf.64332e6d3ac932753c03f9d32cefb6d7.jpg,0,1
52_png.rf.659b659bc4f9218e288022246a3dceeb.jpg,1,0
images---2020-04-26T194356-344_jpg.rf.651a5745190d8a2e774052886851f2b0.jpg,0,1
images--12-_jpg.rf.6600e1b35e24f8295e3f71fdb4db5cba.jpg,0,1
images--26-_jpg.rf.6702d446c2ef23e57c6251934ccd95a3.jpg,0,1
images--99-_jpg.rf.67318e7a62aca37bf7ffa43effa3bd61.jpg,0,1
01_jpg.rf.672495eb323aec30392ba63044b35bcf.jpg,0,1
images---2020-04-26T194316-899_jpg.rf.63c7dc7dab96b73bf81625f4ab46c5d5.jpg,0,1
Dyshidrosis-49_png.rf.676d57ddd8a5e6e1fb638d71759f1b1b.jpg,1,0
images---2020-04-26T194421-064_jpg.rf.676475e8298b5e2dffb3c6674573ff68.jpg,0,1
images---2020-04-26T194217-682_jpg.rf.6704841e969c2fdcbca5899fb6fe705a.jpg,0,1
55_png.rf.63e00ba4c45b7de3a98bc2f0487acba9.jpg,1,0
320_jpeg.rf.67d13367a0db7dac85a3d400399a82ed.jpg,1,0
images---2020-04-26T194052-153_jpg.rf.67b90d01b1f1003d70dac3b7841ae8d4.jpg,0,1
images---2020-04-26T194355-385_jpg.rf.67d31ab1819516360c8d85606bf76c15.jpg,0,1
86_jpeg.rf.686a04b530a4cd74e55b42e0b8c3a082.jpg,1,0
images---2020-04-26T194353-284_jpg.rf.693bb33d37054fe427051b430618ccc6.jpg,0,1
av_eczema-psoriasis_plaques-rouges_1x1_jpg.rf.6d43bdbc7d40267d94c78914d4562f8a.jpg,0,1
images---2020-04-26T194414-228_jpg.rf.685f7dd43431910ba2921a5b30fd7508.jpg,0,1
images---2020-04-26T194433-363_jpg.rf.6734aac34d0797239e11fc5ffc9a49d2.jpg,0,1
images---2020-04-26T194338-290_jpg.rf.69b5b71eecc8019005e31ce081ef4e38.jpg,0,1
23_jpeg.rf.6bd67757952c7ed0ca7a8fdd4fcf0800.jpg,1,0
175_jpeg.rf.6cac4d8dbfeb166bcf04c152eabdbb42.jpg,1,0
32_jpeg.rf.6d3f3737c07c1dcbf3c37a384cb7ac91.jpg,1,0
116_jpeg.rf.6aba999497f623dc5d95447d32d84dc9.jpg,1,0
116_jpeg.rf.693218d7f2378458001b0e13dc286501.jpg,1,0
14_png.rf.689970f7cd6a1a7c2040c1aee7f80b13.jpg,1,0
images---2020-04-26T194435-514_jpg.rf.6b5989b4667df03207512f84e3522edc.jpg,0,1
246_jpeg.rf.6bf9b1c0db686fee77a0b05deac93d42.jpg,1,0
38_jpeg.rf.6c1582bb7b1c7a2dd28d7b29b8b24fdf.jpg,1,0
155_jpeg.rf.68990901552fe4234e618f5dfc266c6f.jpg,1,0
images---2020-04-26T194308-137_jpg.rf.6c480961861ea6f28d3a4f3f426b60a4.jpg,0,1
281_jpeg.rf.6878e742d09ba78b7c9f59bc239632f1.jpg,1,0
images---2020-04-26T194352-906_jpg.rf.6b4dcf92ad474b005799c3789ff50592.jpg,0,1
images---2020-04-26T194424-410_jpg.rf.6c7c2c8f84e05171442c92bf0235f11e.jpg,0,1
images---2020-04-26T194422-772_jpg.rf.6bd0aaa27f3837bdbd0ff2f4b5978855.jpg,0,1
eczema-arms-14_png.rf.6d6aba452bcbe61a4119d7286ee4dc5b.jpg,1,0
50_jpeg.rf.6e09df322296457be2c47ee4ff850e62.jpg,1,0
132_jpeg.rf.6abcde69fa0c9fb35243ec7b09f6b299.jpg,1,0
216_jpeg.rf.6c1061e06789bf8561a90a119810c515.jpg,1,0
